event_id,first_z,max_abs_z,reclaim,side,trading_date
2026-01-30|above|1769781600,2.203014224746525,2.203014224746525,True,above,2026-01-30
2026-01-30|above|1769783400,2.159129731922099,2.159129731922099,True,above,2026-01-30
2026-01-30|below|1769790900,-2.0153361615296785,2.0153361615296785,True,below,2026-01-30
2026-01-30|below|1769792700,-2.0727134846915676,2.11267335830534,True,below,2026-01-30
2026-02-02|above|1770042600,2.3618325312193993,2.378855768616031,True,above,2026-02-02
2026-02-02|below|1770047100,-2.0707525154806974,2.899925787560868,True,below,2026-02-02
2026-02-03|above|1770135300,3.0566425864120497,3.0566425864120497,True,above,2026-02-03
2026-02-04|above|1770213000,2.081740493283389,2.081740493283389,True,above,2026-02-04
2026-02-04|below|1770215100,-2.096561201305708,2.096561201305708,True,below,2026-02-04
2026-02-04|below|1770219000,-2.222397415971867,2.222397415971867,True,below,2026-02-04
2026-02-05|below|1770300600,-2.124299470568277,2.124299470568277,True,below,2026-02-05
2026-02-05|below|1770306000,-2.074565481684225,2.074565481684225,True,below,2026-02-05
2026-02-05|above|1770309600,2.7802925126279505,3.202649635374322,True,above,2026-02-05
2026-02-06|below|1770387600,-2.6482881423156095,2.6482881423156095,True,below,2026-02-06
2026-02-06|above|1770389700,2.1354312263660313,2.1354312263660313,True,above,2026-02-06
2026-02-09|above|1770647400,2.3500989789976505,2.3500989789976505,True,above,2026-02-09
2026-02-09|above|1770651000,2.0386730158619337,2.0386730158619337,True,above,2026-02-09
2026-02-09|above|1770651900,2.039391613044195,2.039391613044195,True,above,2026-02-09
2026-02-10|above|1770732900,2.1837860286065696,2.1837860286065696,True,above,2026-02-10
2026-02-10|below|1770737700,-2.1262947423521172,2.1262947423521172,True,below,2026-02-10
2026-02-11|above|1770829800,2.072289411961747,2.072289411961747,True,above,2026-02-11
2026-02-11|above|1770830400,2.22740296577439,2.22740296577439,True,above,2026-02-11
2026-02-12|below|1770905700,-2.2415032010332165,2.2415032010332165,True,below,2026-02-12
2026-02-12|below|1770908100,-2.0376086361419743,2.0376086361419743,True,below,2026-02-12
2026-02-12|below|1770912600,-2.4327510131270587,2.4327510131270587,True,below,2026-02-12
2026-02-13|above|1770999900,2.543500870166113,2.543500870166113,True,above,2026-02-13
2026-02-16|below|1771252500,-2.2556881895407592,2.2556881895407592,True,below,2026-02-16
2026-02-16|below|1771254000,-2.057144194533547,2.057144194533547,True,below,2026-02-16
2026-02-17|below|1771336500,-2.050216077359763,2.050216077359763,True,below,2026-02-17
2026-02-18|above|1771425300,2.6220649487278935,2.6220649487278935,True,above,2026-02-18
2026-02-18|above|1771426200,2.1250995072066385,2.1250995072066385,True,above,2026-02-18
2026-02-19|below|1771510200,-2.0109594212891264,2.0109594212891264,True,below,2026-02-19
2026-02-19|above|1771512600,2.0556125858516197,2.0556125858516197,True,above,2026-02-19
2026-02-20|above|1771605000,2.2383641957716884,2.2383641957716884,True,above,2026-02-20
