accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
False,False,False,CLOSE_INSIDE_VALUE,True,False,,-23.75,-0.6535626535626535,0,ES,-7.5,23.25,4764.25,False,True,OPEN_BELOW_VAL,True,4781.75,0.5078125,2024-01-02,False,False,False,0930_1000,False,2024-01-03,False,,,,,4789.0,4775.0,0.4954970777086679,14.0,0.38525798525798527,0.4375,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-7.5,-0.20874751491053678,218,ES,-27.0,12.5,4739.5,False,True,OPEN_BELOW_VAL,True,4756.0,0.4878048780487805,2024-01-03,False,True,True,1000_1130,True,2024-01-04,True,1704378720,1704380940,1704384660,1704378720,4762.25,4747.0,0.5184824745968974,15.25,0.42445328031809143,0.4959349593495935,2024
True,True,True,CLOSE_BELOW_VAL,False,True,,0.5,0.014736842105263158,152,ES,-30.0,10.5,4730.25,False,True,OPEN_BELOW_VAL,False,4746.25,0.4873417721518987,2024-01-04,True,True,True,1000_1130,True,2024-01-05,True,1704465960,1704466860,1704467280,1704465420,4757.25,4739.5,0.5426660662706924,17.75,0.523157894736842,0.44936708860759494,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,3.75,0.11170212765957448,20,ES,0.0,0.0,4739.25,True,False,OPEN_INSIDE_VALUE,True,4736.25,0.4074074074074074,2024-01-05,False,True,False,0930_1000,False,2024-01-08,False,1704724200,,1704724440,,4746.25,4722.0,0.5455191238287113,24.25,0.7223404255319149,0.5987654320987654,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,-28.5,-0.7777777777777777,384,ES,0.0,0.0,4773.0,False,True,OPEN_INSIDE_VALUE,True,4800.75,0.9616858237547893,2024-01-08,False,True,False,1130_1330,True,2024-01-09,False,1704810600,1704823320,1704823320,,4803.25,4757.75,0.05766374125355004,45.5,1.2417153996101364,0.6973180076628352,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,2.25,0.05971563981042654,72,ES,0.0,0.0,4795.25,True,False,OPEN_INSIDE_VALUE,True,4792.25,0.678082191780822,2024-01-09,False,True,False,0930_1000,True,2024-01-10,False,1704897000,1704899100,1704897120,,4801.25,4780.75,0.3385149341853466,20.5,0.5440758293838862,0.5616438356164384,2024
True,True,True,CLOSE_ABOVE_VAH,False,True,,7.75,0.20139211136890953,209,ES,-54.25,5.25,4827.0,True,False,OPEN_ABOVE_VAH,True,4805.0,0.35172413793103446,2024-01-10,True,True,True,0930_1000,True,2024-01-11,True,1704984420,1704985380,1704984300,1704985500,4817.0,4795.75,0.5765101278840757,21.25,0.5522041763341068,0.5862068965517241,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,,14.25,0.3870029097963143,327,ES,-26.75,7.5,4829.0,True,False,OPEN_ABOVE_VAH,True,4812.5,0.6680672268907563,2024-01-11,False,True,False,1000_1130,True,2024-01-12,False,1705071600,1705071720,1705071600,,4820.0,4786.5,0.2237578920791511,33.5,0.909796314258002,0.5630252100840336,2024
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-14.75,-0.4072978303747534,73,ES,-13.75,22.5,4802.0,False,True,OPEN_BELOW_VAL,True,4815.75,0.39416058394160586,2024-01-12,True,False,True,1000_1130,True,2024-01-16,False,1705418520,1705422120,,1705418400,4819.25,4806.25,0.46243250833395483,13.0,0.358974358974359,0.3795620437956204,2024
False,False,False,CLOSE_INSIDE_VALUE,True,False,,-32.5,-0.8987654320987655,0,ES,-9.75,19.75,4766.0,False,True,OPEN_BELOW_VAL,True,4791.25,0.32413793103448274,2024-01-16,False,False,False,0930_1000,False,2024-01-17,False,,,,,4804.25,4786.0,0.7451317653922603,18.25,0.5046913580246913,0.503448275862069,2024
